Load,Actuator,Time,Strain
106.4068,7.215278,18.768,0.002372
106.1104,7.215278,18.834,0.0024
105.4989,7.215278,18.901,0.002411
103.9846,7.215278,18.968,0.002412
101.5638,7.208333,19.034,0.002396
99.88383,7.201389,19.101,0.002382
99.68984,7.201389,19.168,0.002381
100.0347,7.201389,19.234,0.002387
101.389,7.201389,19.301,0.002393
103.4671,7.208333,19.368,0.002411
105.2743,7.215278,19.434,0.002434
106.2784,7.229167,19.501,0.002455
106.2201,7.229167,19.568,0.002482
105.831,7.229167,19.634,0.002503
104.8588,7.229167,19.701,0.002509
102.7871,7.229167,19.768,0.0025
100.5219,7.222222,19.834,0.002488
99.55618,7.215278,19.901,0.002478
99.52619,7.215278,19.968,0.002475
100.2582,7.215278,20.034,0.002487
102.0357,7.215278,20.101,0.002497
104.1425,7.229167,20.168,0.002517
105.6555,7.236111,20.234,0.002541
106.241,7.243055,20.301,0.002565
106.0253,7.243055,20.368,0.00259
105.4939,7.243055,20.434,0.002611
103.7976,7.243055,20.501,0.002606
101.0844,7.236111,20.568,0.002589
99.45226,7.229167,20.634,0.002579
98.83642,7.229167,20.701,0.002574
98.87177,7.229167,20.768,0.002572
99.85957,7.229167,20.834,0.002584
101.9849,7.229167,20.901,0.002595
104.589,7.243055,20.968,0.002623
106.1344,7.25,21.034,0.002652
106.3804,7.256945,21.101,0.002677
105.9441,7.256945,21.168,0.002703
104.7135,7.256945,21.234,0.002713
101.8817,7.256945,21.301,0.002694
99.34809,7.243055,21.368,0.002675
98.30862,7.236111,21.434,0.002671
98.29468,7.236111,21.501,0.002665
99.2172,7.236111,21.568,0.002674
101.195,7.243055,21.634,0.002692
103.1944,7.25,21.701,0.002706
104.8346,7.256945,21.768,0.002726
105.7762,7.263889,21.834,0.002747
105.981,7.270833,21.901,0.002767
105.5781,7.270833,21.968,0.002783
104.7302,7.270833,22.034,0.00279
103.1429,7.270833,22.101,0.002782
101.7922,7.263889,22.168,0.002778
101.2221,7.263889,22.234,0.002773
101.0492,7.263889,22.301,0.002769
101.5673,7.263889,22.368,0.002777
103.1709,7.263889,22.434,0.002791
105.3398,7.270833,22.501,0.00281
106.752,7.284722,22.568,0.002846
106.7503,7.291667,22.634,0.002886
105.4702,7.291667,22.701,0.002899
102.8256,7.284722,22.768,0.00289
100.3803,7.277778,22.834,0.002874
98.8288,7.270833,22.901,0.002858
98.49972,7.263889,22.968,0.002859
99.02456,7.263889,23.034,0.002866
100.5196,7.263889,23.101,0.002872
102.3873,7.270833,23.168,0.002891
104.0729,7.284722,23.234,0.002907
105.2097,7.291667,23.301,0.002922
105.7004,7.291667,23.368,0.00294
105.9378,7.291667,23.434,0.002961
105.4471,7.298611,23.501,0.002972
104.314,7.298611,23.568,0.002975
102.6418,7.291667,23.634,0.002969
101.7374,7.291667,23.701,0.002962
101.3275,7.291667,23.768,0.002962
101.3623,7.291667,23.834,0.002966
102.207,7.291667,23.901,0.002965
104.126,7.291667,23.968,0.002983
106.2057,7.305556,24.034,0.003017
106.8251,7.3125,24.101,0.00305
106.3527,7.319444,24.168,0.003083
104.3278,7.319444,24.234,0.003089
101.4467,7.305556,24.301,0.003068
99.33746,7.298611,24.368,0.003059
98.39239,7.291667,24.434,0.003052
98.27017,7.291667,24.501,0.003044
98.78023,7.291667,24.568,0.003051
100.3596,7.291667,24.634,0.003064
102.494,7.298611,24.701,0.003078
104.3807,7.3125,24.768,0.0031
105.5045,7.319444,24.834,0.003121
105.7682,7.319444,24.901,0.003138
105.7395,7.326389,24.968,0.00316
104.6994,7.326389,25.034,0.00317
102.7236,7.319444,25.101,0.003156
101.4946,7.319444,25.168,0.003152
100.7381,7.3125,25.234,0.003148
100.8138,7.3125,25.301,0.003145
101.7847,7.3125,25.368,0.003154
103.5828,7.319444,25.434,0.003172
105.2391,7.326389,25.501,0.003192
106.1939,7.333333,25.568,0.003217
106.2654,7.340278,25.634,0.003247
105.383,7.340278,25.701,0.003258
103.5847,7.340278,25.768,0.003259
101.6185,7.333333,25.834,0.003246
100.4328,7.326389,25.901,0.003235
100.0751,7.326389,25.968,0.003238
100.1394,7.326389,26.034,0.003238
101.0645,7.326389,26.101,0.00324
103.0589,7.326389,26.168,0.003257
105.3246,7.340278,26.234,0.003282
106.4483,7.347222,26.301,0.003313
106.4672,7.354167,26.368,0.003355
105.491,7.354167,26.434,0.00337
102.8202,7.347222,26.501,0.003359
100.0512,7.340278,26.568,0.003343
98.39578,7.333333,26.634,0.003328
97.83084,7.326389,26.701,0.003319
98.33552,7.326389,26.768,0.003329
99.88095,7.326389,26.834,0.003341
101.7768,7.333333,26.901,0.00335
103.5922,7.347222,26.968,0.003372
104.9664,7.354167,27.034,0.003389
105.5929,7.354167,27.101,0.003405
105.6046,7.361111,27.168,0.003426
105.2099,7.361111,27.234,0.003438
104.534,7.361111,27.301,0.003441
103.4031,7.361111,27.368,0.003443
101.9919,7.361111,27.434,0.003435
101.4568,7.354167,27.501,0.003425
101.6235,7.354167,27.568,0.003431
102.5306,7.354167,27.634,0.003442
104.3,7.361111,27.701,0.003454
105.7457,7.368056,27.768,0.003479
106.381,7.375,27.834,0.003509
106.1177,7.375,27.901,0.003533
105.1819,7.381944,27.968,0.003554
