Load,Actuator,Time,Strain
105.2868,8.145833,34.09,0.004253344
106.9083,8.152777,34.157,0.004271593
107.9345,8.159722,34.223,0.004291955
108.3351,8.166667,34.29,0.004310287
108.1033,8.166667,34.357,0.004331675
107.5393,8.166667,34.423,0.004344352
106.0606,8.166667,34.49,0.004341345
104.3647,8.159722,34.557,0.004327624
103.4825,8.159722,34.623,0.004325079
103.1187,8.152777,34.69,0.00431733
104.1307,8.152777,34.757,0.004326163
105.7368,8.159722,34.823,0.004342078
107.3279,8.166667,34.89,0.004357961
108.5973,8.173611,34.957,0.004384962
108.932,8.180556,35.023,0.004420012
108.3604,8.180556,35.09,0.004437274
106.6961,8.180556,35.157,0.00444509
104.3522,8.173611,35.223,0.004431713
102.4572,8.166667,35.29,0.004412393
101.7904,8.159722,35.357,0.004410978
101.8407,8.159722,35.423,0.004412964
102.6818,8.159722,35.49,0.004412274
104.5066,8.166667,35.557,0.004428832
106.5125,8.173611,35.623,0.004449487
107.929,8.180556,35.69,0.004466979
108.6402,8.1875,35.757,0.004495847
108.5595,8.1875,35.823,0.004524411
107.934,8.1875,35.89,0.004539092
105.9978,8.1875,35.957,0.004538065
103.3902,8.180556,36.023,0.00452166
101.7773,8.173611,36.09,0.004506442
101.2362,8.166667,36.157,0.004503196
101.742,8.166667,36.223,0.004506982
103.2356,8.166667,36.29,0.004517924
105.1296,8.173611,36.357,0.004534281
106.938,8.1875,36.423,0.004555192
108.1243,8.194445,36.49,0.004574941
108.4982,8.194445,36.557,0.004599702
108.1455,8.201389,36.623,0.004622476
106.5611,8.201389,36.69,0.004626242
104.6845,8.194445,36.757,0.004614385
103.384,8.1875,36.823,0.00460525
102.7971,8.1875,36.89,0.004601233
102.7605,8.1875,36.957,0.004599453
103.4461,8.1875,37.023,0.004606901
105.0618,8.1875,37.09,0.004616061
107.2596,8.194445,37.157,0.004639436
108.9423,8.208334,37.223,0.004675328
109.2946,8.215277,37.29,0.004709214
108.365,8.215277,37.357,0.004740104
105.7597,8.208334,37.423,0.004739573
102.8025,8.201389,37.49,0.004713091
100.6605,8.1875,37.557,0.004693892
99.81459,8.180556,37.623,0.004691099
100.0615,8.180556,37.69,0.004690913
101.4018,8.180556,37.757,0.004698661
